000987,sz000987,广州友谊
000988,sz000988,华工科技
000989,sz000989,九 芝 堂
000990,sz000990,诚志股份
000993,sz000993,闽东电力
000995,sz000995,ST皇台
000996,sz000996,中国中期
000997,sz000997,新 大 陆
000998,sz000998,隆平高科
000999,sz000999,华润三九
001696,sz001696,宗申动力
001896,sz001896,豫能控股
002001,sz002001,新 和 成
002002,sz002002,金材股份
002003,sz002003,伟星股份
002004,sz002004,华邦颖泰
002005,sz002005,德豪润达
002006,sz002006,精功科技
002007,sz002007,华兰生物
002008,sz002008,大族激光
002009,sz002009,天奇股份
002010,sz002010,传化股份
002011,sz002011,盾安环境
002012,sz002012,凯恩股份
002013,sz002013,中航精机
002014,sz002014,永新股份
002015,sz002015,霞客环保
002016,sz002016,世荣兆业
002017,sz002017,东信和平
002018,sz002018,华星化工
002019,sz002019,*ST鑫富
002020,sz002020,京新药业
002021,sz002021,中捷股份
002022,sz002022,科华生物
002023,sz002023,海特高新
002024,sz002024,苏宁电器
002025,sz002025,航天电器
002026,sz002026,山东威达
002027,sz002027,七喜控股
002028,sz002028,思源电气
002029,sz002029,七 匹 狼
002030,sz002030,达安基因
002031,sz002031,巨轮股份
002032,sz002032,苏 泊 尔
002033,sz002033,丽江旅游
002034,sz002034,美 欣 达
002035,sz002035,华帝股份
002036,sz002036,宜科科技
002037,sz002037,久联发展
002038,sz002038,双鹭药业
002039,sz002039,黔源电力
002040,sz002040,南 京 港
002041,sz002041,登海种业
002042,sz002042,华孚色纺
002043,sz002043,兔 宝 宝
002044,sz002044,江苏三友
002045,sz002045,国光电器
002046,sz002046,轴研科技
002047,sz002047,成霖股份
002048,sz002048,宁波华翔
002049,sz002049,同方国芯
002050,sz002050,三花股份
002051,sz002051,中工国际
002052,sz002052,同洲电子
002053,sz002053,云南盐化
002054,sz002054,德美化工
002055,sz002055,得润电子
002056,sz002056,横店东磁
002057,sz002057,中钢天源
002058,sz002058,威 尔 泰
002059,sz002059,云南旅游
002060,sz002060,粤 水 电
002061,sz002061,江山化工
002062,sz002062,宏润建设
002063,sz002063,远光软件
002064,sz002064,华峰氨纶
002065,sz002065,东华软件
002066,sz002066,瑞泰科技
002067,sz002067,景兴纸业
002068,sz002068,黑猫股份
002069,sz002069,獐 子 岛
002070,sz002070,众和股份
002071,sz002071,江苏宏宝
002072,sz002072,ST德棉
002073,sz002073,软控股份
002074,sz002074,东源电器
002075,sz002075,沙钢股份
002076,sz002076,雪 莱 特
002077,sz002077,大港股份
002078,sz002078,太阳纸业
002079,sz002079,苏州固锝
002080,sz002080,中材科技
002081,sz002081,金 螳 螂
002082,sz002082,栋梁新材
002083,sz002083,孚日股份
002084,sz002084,海鸥卫浴
002085,sz002085,万丰奥威
002086,sz002086,东方海洋
002087,sz002087,新野纺织
002088,sz002088,鲁阳股份
002089,sz002089,新 海 宜
002090,sz002090,金智科技
002091,sz002091,江苏国泰
002092,sz002092,中泰化学
002093,sz002093,国脉科技
002094,sz002094,青岛金王
002095,sz002095,生 意 宝
002096,sz002096,南岭民爆
002097,sz002097,山河智能
002098,sz002098,浔兴股份
002099,sz002099,海翔药业
002100,sz002100,天康生物
002101,sz002101,广东鸿图
002102,sz002102,*ST冠福
002103,sz002103,广博股份
002104,sz002104,恒宝股份
002105,sz002105,信隆实业
002106,sz002106,莱宝高科
002107,sz002107,沃华医药
002108,sz002108,沧州明珠
002109,sz002109,兴化股份
002110,sz002110,三钢闽光
002111,sz002111,威海广泰
002112,sz002112,三变科技
002113,sz002113,ST天润
002114,sz002114,*ST锌电
002115,sz002115,三维通信
002116,sz002116,中国海诚
002117,sz002117,东港股份
002118,sz002118,紫鑫药业
002119,sz002119,康强电子
002120,sz002120,新海股份
002121,sz002121,科陆电子
002122,sz002122,天马股份
002123,sz002123,荣信股份
002124,sz002124,天邦股份
002125,sz002125,湘潭电化
002126,sz002126,银轮股份
002127,sz002127,新民科技
002128,sz002128,露天煤业
002129,sz002129,中环股份
002130,sz002130,沃尔核材
002131,sz002131,利欧股份
002132,sz002132,恒星科技
002133,sz002133,广宇集团
002134,sz002134,天津普林
002135,sz002135,东南网架
002136,sz002136,安 纳 达
002137,sz002137,实 益 达
002138,sz002138,顺络电子
002139,sz002139,拓邦股份
002140,sz002140,东华科技
002141,sz002141,蓉胜超微
002142,sz002142,宁波银行
002143,sz002143,高金食品
002144,sz002144,宏达高科
002145,sz002145,中核钛白
002146,sz002146,荣盛发展
002147,sz002147,方圆支承
002148,sz002148,北纬通信
002149,sz002149,西部材料
002150,sz002150,江苏通润
002151,sz002151,北斗星通
002152,sz002152,广电运通
002153,sz002153,石基信息
002154,sz002154,报 喜 鸟
002155,sz002155,辰州矿业
002156,sz002156,通富微电
002157,sz002157,正邦科技
002158,sz002158,汉钟精机
002159,sz002159,三特索道
002160,sz002160,常铝股份
002161,sz002161,远 望 谷
002162,sz002162,*ST上控
002163,sz002163,中航三鑫
002164,sz002164,东力传动
002165,sz002165,红 宝 丽
002166,sz002166,莱茵生物
002167,sz002167,东方锆业
002168,sz002168,深圳惠程
002169,sz002169,智光电气
002170,sz002170,芭田股份
002171,sz002171,精诚铜业
002172,sz002172,澳洋科技
002173,sz002173,千足珍珠
002174,sz002174,梅 花 伞
002175,sz002175,广陆数测
002176,sz002176,江特电机
002177,sz002177,御银股份
002178,sz002178,延华智能
002179,sz002179,中航光电
002180,sz002180,万 力 达
002181,sz002181,粤 传 媒
002182,sz002182,云海金属
002183,sz002183,怡 亚 通
002184,sz002184,海得控制
002185,sz002185,华天科技
002186,sz002186,全 聚 德
002187,sz002187,广百股份
002188,sz002188,新 嘉 联
002189,sz002189,利达光电
002190,sz002190,成飞集成
002191,sz002191,劲嘉股份
002192,sz002192,路翔股份
002193,sz002193,山东如意
002194,sz002194,武汉凡谷
002195,sz002195,海隆软件
002196,sz002196,方正电机
002197,sz002197,证通电子
002198,sz002198,嘉应制药
002199,sz002199,东晶电子
002200,sz002200,*ST大地
002201,sz002201,九鼎新材
002202,sz002202,金风科技
002203,sz002203,海亮股份
002204,sz002204,大连重工
002205,sz002205,国统股份
002206,sz002206,海 利 得
002207,sz002207,准油股份
002208,sz002208,合肥城建
002209,sz002209,达 意 隆
002210,sz002210,飞马国际
002211,sz002211,宏达新材
002212,sz002212,南洋股份
002213,sz002213,特 尔 佳
002214,sz002214,大立科技
002215,sz002215,诺 普 信
002216,sz002216,三全食品
002217,sz002217,联合化工
002218,sz002218,拓日新能
002219,sz002219,独 一 味
002220,sz002220,天宝股份
002221,sz002221,东华能源
002222,sz002222,福晶科技
002223,sz002223,鱼跃医疗
002224,sz002224,三 力 士
002225,sz002225,濮耐股份
002226,sz002226,江南化工
002227,sz002227,奥 特 迅
002228,sz002228,合兴包装
002229,sz002229,鸿博股份
002230,sz002230,科大讯飞
002231,sz002231,奥维通信
002232,sz002232,启明信息
002233,sz002233,塔牌集团
002234,sz002234,民和股份
002235,sz002235,安妮股份
002236,sz002236,大华股份
002237,sz002237,恒邦股份
002238,sz002238,天威视讯
002239,sz002239,金 飞 达
002240,sz002240,威华股份
002241,sz002241,歌尔声学
002242,sz002242,九阳股份
002243,sz002243,通产丽星
002244,sz002244,滨江集团
002245,sz002245,澳洋顺昌
002246,sz002246,北化股份
002247,sz002247,帝龙新材
002248,sz002248,华东数控
002249,sz002249,大洋电机
002250,sz002250,联化科技
002251,sz002251,步 步 高
002252,sz002252,上海莱士
002253,sz002253,川大智胜
002254,sz002254,泰和新材
002255,sz002255,海陆重工
002256,sz002256,彩虹精化
002258,sz002258,利尔化学
002259,sz002259,升达林业
002260,sz002260,伊 立 浦
002261,sz002261,拓维信息
002262,sz002262,恩华药业
002263,sz002263,大 东 南
002264,sz002264,新 华 都
002265,sz002265,西仪股份
